 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=6*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   28   52   80      667.165        4.500        4.000         4.30         0.08         56.4        3.855        4.110
   28   53   81      674.265        4.500        4.000         4.33         0.06         52.7        7.100       10.955
   28   54   82      678.185        4.500        4.000         4.35         0.06         56.6        3.920       11.020
   28   55   83      680.805        4.600        4.000         4.39         0.01          9.8        2.620        6.540
   28   56   84      683.040        4.600        4.000         4.41         0.02         59.4        2.235        4.855
   28   57   85      679.515        5.100        4.000         4.80         0.01         20.1       -3.525       -1.290
   28   58   86      685.540        5.200        4.000         4.81         0.02         52.8        6.025        2.500
   28   59   87      686.470        5.400        4.000         4.98         0.03         57.7        0.930        6.955
   28   60   88      684.190        5.400        4.000         5.00         0.03         56.0       -2.280       -1.350
   28   61   89      677.900        5.700        4.000         5.23         0.02         15.1       -6.290       -8.570
   28   62   90      687.005        5.700        4.000         5.20         0.04         39.4        9.105        2.815
   28   63   91      683.255        5.800        4.000         5.32         0.04         54.1       -3.750        5.355
   28   64   92      682.065        5.800        4.000         5.37         0.04         51.5       -1.190       -4.940
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   29   40   69      620.680        4.100        4.000         4.06         0.22         14.8                          
   29   41   70      635.195        4.100        3.900         4.00         0.05         53.5       14.515             
   29   42   71      641.455        4.100        3.900         4.02         0.02         31.3        6.260       20.775
   29   43   72      650.245        4.100        3.900         4.04         0.07         38.5        8.790       15.050
   29   44   73      653.975        4.200        3.900         4.06         0.04         23.2        3.730       12.520
   29   45   74      662.305        4.200        3.900         4.09         0.07         40.9        8.330       12.060
   29   46   75      667.545        4.200        3.900         4.11         0.04         28.7        5.240       13.570
   29   47   76      667.210        4.200        4.000         4.13         0.07         31.9       -0.335        4.905
   29   48   77      670.410        4.300        4.000         4.16         0.04         16.6        3.200        2.865
   29   49   78      677.990        4.300        4.000         4.17         0.02         31.1        7.580       10.780
   29   50   79      682.065        4.300        4.000         4.20         0.05         59.4        4.075       11.655
   29   51   80      687.740        4.400        4.000         4.26         0.07         51.9        5.675        9.750
   29   52   81      690.345        4.400        4.000         4.28         0.07         55.9        2.605        8.280
   29   53   82      695.595        4.500        4.000         4.31         0.05         50.0        5.250        7.855
   29   54   83      697.150        4.500        4.000         4.33         0.05         56.6        1.555        6.805
   29   55   84      702.970        4.500        4.000         4.38         0.00         14.1        5.820        7.375
   29   56   85      701.175        4.600        4.000         4.39         0.01         58.9       -1.795        4.025
   29   57   86      704.480        4.900        4.000         4.62         0.01         50.4        3.305        1.510
   29   58   87      704.780        5.100        4.000         4.76         0.02         57.4        0.300        3.605
   29   59   88      704.705        5.300        4.000         4.90         0.02         50.8       -0.075        0.225
   29   60   89      708.425        5.300        4.000         4.97         0.03         59.1        3.720        3.645
   29   61   90      706.135        5.500        4.000         5.09         0.02         46.8       -2.290        1.430
   29   62   91      707.820        5.500        4.100         5.09         0.04         53.8        1.685       -0.605
   29   63   92      707.985        5.700        4.100         5.25         0.03         59.7        0.165        1.850
   29   64   93      706.665        5.700        4.100         5.25         0.05         51.9       -1.320       -1.155
   29   65   94      709.495        6.000        4.100         5.49         0.03         53.8        2.830        1.510
   29   66   95      706.105        6.000        4.100         5.46         0.04         58.4       -3.390       -0.560
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   30   40   70      630.110        4.100        4.000         4.06         0.20         16.6                          
   30   41   71      646.365        4.100        3.900         4.01         0.02         42.6       16.255             
   30   42   72      653.795        4.100        3.900         4.03         0.02         39.1        7.430       23.685
   30   43   73      659.880        4.100        3.900         4.05         0.04         21.1        6.085       13.515
   30   44   74      662.245        4.200        4.000         4.07         0.03         16.8        2.365        8.450
   30   45   75      674.455        4.200        4.000         4.09         0.04         26.5       12.210       14.575
   30   46   76      680.370        4.200        4.000         4.11         0.03         20.2        5.915       18.125
   30   47   77      679.425        4.200        4.000         4.13         0.04         15.9       -0.945        4.970
   30   48   78      688.965        4.300        4.000         4.15         0.02          4.0        9.540        8.595
   30   49   79      690.975        4.300        4.000         4.17         0.01         25.2        2.010       11.550
   30   50   80      696.765        4.300        4.000         4.19         0.03         58.8        5.790        7.800
   30   51   81      699.405        4.400        4.000         4.24         0.04         41.3        2.640        8.430
   30   52   82      709.760        4.400        4.000         4.27         0.04         54.3       10.355       12.995
   30   53   83      706.725        4.400        4.000         4.30         0.03         46.1       -3.035        7.320
   30   54   84      716.375        4.500        4.000         4.32         0.04         56.3        9.650        6.615
   30   55   85      723.335        4.500        4.000         4.36         0.00          3.3        6.960       16.610
   30   56   86      726.670        4.500        4.000         4.37         0.01         59.4        3.335       10.295
   30   57   87      722.760        4.800        4.100         4.55         0.02         43.3       -3.910       -0.575
   30   58   88      730.965        4.900        4.100         4.66         0.02         21.8        8.205        4.295
   30   59   89      724.680        5.300        4.000         4.92         0.01         53.5       -6.285        1.920
   30   60   90      730.160        5.300        4.100         4.93         0.02         47.6        5.480       -0.805
   30   61   91      731.425        5.400        4.100         4.98         0.03         52.1        1.265        6.745
   30   62   92      727.980        5.400        4.100         5.01         0.04         46.8       -3.445       -2.180
   30   63   93      731.170        5.600        4.100         5.16         0.03         47.9        3.190       -0.255
   30   64   94      730.880        5.600        4.100         5.19         0.04         46.0       -0.290        2.900
   30   65   95      725.240        5.800        4.100         5.31         0.03         41.1       -5.640       -5.930
   30   66   96      719.335        5.800        4.100         5.34         0.04         50.9       -5.905      -11.545
   30   67   97      725.980        6.000        4.100         5.47         0.00         44.1        6.645        0.740
   30   68   98      729.225        5.900        4.100         5.43         0.01         24.6        3.245        9.890
   30   69   99      730.165        6.100        4.100         5.55         0.02          3.2        0.940        4.185
   30   70  100      731.510        6.100        4.100         5.55         0.03          7.0        1.345        2.285
   30   71  101      725.525        6.400        4.100         5.81         0.01          8.2       -5.985       -4.640
   30   72  102      732.945        6.400        4.100         5.80         0.03          0.5        7.420        1.435
   30   73  103      734.390        6.400        4.100         5.80         0.07         12.5        1.445        8.865
   30   74  104      725.255        6.300        4.200         5.78         0.08         11.3       -9.135       -7.690
   30   75  105      736.020        6.400        4.100         5.84         0.09          9.9       10.765        1.630
   30   76  106      734.190        6.400        4.200         5.88         0.09          4.4       -1.830        8.935
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   31   40   71      644.335        4.100        4.000         4.06         0.19         14.7                          
   31   41   72      658.050        4.100        3.900         4.02         0.04         52.8       13.715             
   31   42   73      663.850        4.100        4.000         4.04         0.03         53.4        5.800       19.515
   31   43   74      671.370        4.100        4.000         4.06         0.04          1.4        7.520       13.320
   31   44   75      677.640        4.200        4.000         4.08         0.03          5.7        6.270       13.790
   31   45   76      684.285        4.200        4.000         4.10         0.05          4.9        6.645       12.915
   31   46   77      693.105        4.200        4.000         4.12         0.05          3.1        8.820       15.465
   31   47   78      695.775        4.200        4.000         4.14         0.04          9.5        2.670       11.490
   31   48   79      706.795        4.300        4.000         4.16         0.04         19.2       11.020       13.690
   31   49   80      705.165        4.300        4.000         4.18         0.02         58.8       -1.630        9.390
   31   50   81      711.100        4.300        4.000         4.21         0.04         52.3        5.935        4.305
   31   51   82      711.850        4.400        4.000         4.25         0.06         48.4        0.750        6.685
   31   52   83      726.140        4.400        4.000         4.27         0.06         56.8       14.290       15.040
   31   53   84      729.100        4.400        4.000         4.30         0.03         47.0        2.960       17.250
   31   54   85      733.235        4.500        4.100         4.32         0.02          8.1        4.135        7.095
   31   55   86      736.890        4.500        4.100         4.35         0.01         58.8        3.655        7.790
   31   56   87      737.745        4.500        4.100         4.37         0.02         58.7        0.855        4.510
   31   57   88      740.025        4.800        4.100         4.58         0.03         53.7        2.280        3.135
   31   58   89      747.170        5.000        4.100         4.66         0.03         45.4        7.145        9.425
   31   59   90      744.155        5.000        4.100         4.70         0.03         51.5       -3.015        4.130
