 =======================================================================================================================
 Table: Nuclear properties of SLy4d model for B=5*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang and Yan-jun Chen
 Article: Role of magnetic fields on the outer crust in a magnetar   doi:10.1088/1674-1137/ad39cc
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is incomplete table predicting the properties of 915 nuclides (Z = 26~50, N/A = 0.53~0.73)
 within the neutron drip line.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
   35        68       103           823.450
   35        69       104           822.920
   35        70       105           825.080
   35        71       106           828.600
   35        72       107           832.870
   35        73       108           831.830
   35        74       109           832.900
   35        75       110           833.890
   35        76       111           836.350
   35        77       112           837.920
   35        78       113           838.810
   35        79       114           839.830
   35        80       115           838.440
   35        81       116           838.420
   35        82       117           839.490
   35        83       118           839.480
   35        84       119           840.290
   35        85       120           840.580
   35        86       121           840.680
   35        87       122           840.890
   35        88       123           839.970
   35        89       124           842.070
   35        90       125           840.800
   35        91       126           841.150
   35        92       127           840.650
   35        93       128           840.360
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  36   Kr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   36        50        86           778.330
   36        51        87           784.970
   36        52        88           790.310
   36        53        89           795.880
   36        54        90           799.790
   36        55        91           804.860
   36        56        92           808.920
   36        57        93           813.400
   36        58        94           818.290
   36        59        95           820.900
   36        60        96           823.980
   36        61        97           826.860
   36        62        98           829.720
   36        63        99           833.830
   36        64       100           836.400
   36        65       101           837.790
   36        66       102           838.690
   36        67       103           842.070
   36        68       104           844.620
   36        69       105           841.670
   36        70       106           847.440
   36        71       107           850.450
   36        72       108           852.180
   36        73       109           854.840
   36        74       110           857.520
   36        75       111           858.770
   36        76       112           860.020
   36        77       113           861.410
   36        78       114           863.740
   36        79       115           864.150
   36        80       116           865.310
   36        81       117           865.530
   36        82       118           866.610
   36        83       119           866.970
   36        84       120           869.500
   36        85       121           867.990
   36        86       122           867.210
   36        87       123           866.850
   36        88       124           867.640
   36        89       125           867.050
   36        90       126           869.650
   36        91       127           867.950
   36        92       128           868.370
   36        93       129           866.020
   36        94       130           869.920
   36        95       131           872.040
   36        96       132           869.810
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  37   Rb
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   37        50        87           790.230
   37        51        88           796.670
   37        52        89           803.820
   37        53        90           809.390
   37        54        91           810.540
   37        55        92           819.070
   37        56        93           819.820
   37        57        94           824.990
   37        58        95           830.250
   37        59        96           837.230
   37        60        97           841.030
   37        61        98           845.110
   37        62        99           843.790
   37        63       100           848.650
   37        64       101           850.590
   37        65       102           853.750
   37        66       103           856.010
   37        67       104           858.740
   37        68       105           861.330
   37        69       106           862.760
   37        70       107           865.250
   37        71       108           869.140
   37        72       109           870.880
   37        73       110           874.890
   37        74       111           877.590
   37        75       112           879.350
   37        76       113           880.760
   37        77       114           884.910
   37        78       115           885.120
   37        79       116           885.960
   37        80       117           890.940
   37        81       118           885.740
   37        82       119           887.720
   37        83       120           889.490
   37        84       121           892.310
   37        85       122           890.010
   37        86       123           894.460
   37        87       124           891.800
   37        88       125           892.230
   37        89       126           891.350
   37        90       127           892.200
   37        91       128           891.270
   37        92       129           892.060
   37        93       130           891.590
   37        94       131           892.770
   37        95       132           894.300
   37        96       133           891.640
   37        97       134           894.000
   37        98       135           891.180
   37        99       136           893.420
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  38   Sr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   38        50        88           799.680
   38        51        89           807.340
   38        52        90           814.280
   38        53        91           820.470
   38        54        92           826.730
   38        55        93           831.140
   38        56        94           834.770
   38        57        95           841.150
   38        58        96           846.780
   38        59        97           850.830
   38        60        98           855.150
   38        61        99           858.700
   38        62       100           862.670
   38        63       101           866.550
   38        64       102           870.000
   38        65       103           873.970
   38        66       104           877.040
   38        67       105           880.170
   38        68       106           882.390
   38        69       107           883.400
   38        70       108           885.380
   38        71       109           890.910
   38        72       110           893.890
   38        73       111           897.540
   38        74       112           896.020
   38        75       113           903.900
   38        76       114           905.400
   38        77       115           909.220
   38        78       116           910.170
   38        79       117           911.500
   38        80       118           908.470
   38        81       119           911.510
   38        82       120           914.590
   38        83       121           909.750
   38        84       122           916.820
   38        85       123           917.870
   38        86       124           917.800
   38        87       125           914.140
   38        88       126           917.940
   38        89       127           916.490
   38        90       128           915.340
   38        91       129           918.560
   38        92       130           918.980
   38        93       131           918.040
   38        94       132           916.120
   38        95       133           918.620
   38        96       134           914.770
   38        97       135           918.200
   38        98       136           915.130
   38        99       137           918.100
   38       100       138           914.940
   38       101       139           916.300
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  39   Y 
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   39        80       119           937.540
   39        81       120           936.450
   39        82       121           940.230
   39        83       122           939.520
   39        84       123           941.980
   39        85       124           943.390
   39        86       125           943.540
   39        87       126           943.810
   39        88       127           944.140
   39        89       128           945.140
   39        90       129           945.930
   39        91       130           947.070
   39        92       131           945.590
   39        93       132           947.910
   39        94       133           945.650
   39        95       134           947.380
   39        96       135           945.480
   39        97       136           947.840
   39        98       137           945.350
   39        99       138           946.870
   39       100       139           945.130
   39       101       140           946.830
   39       102       141           942.550
   39       103       142           945.280
   39       104       143           942.260
   39       105       144           943.110
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  40   Zr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   40        82       122           958.870
   40        83       123           957.750
   40        84       124           961.200
   40        85       125           961.720
   40        86       126           962.610
   40        87       127           963.040
   40        88       128           964.350
   40        89       129           964.730
   40        90       130           964.990
   40        91       131           966.780
   40        92       132           965.410
   40        93       133           966.170
   40        94       134           964.940
   40        95       135           966.580
   40        96       136           966.820
   40        97       137           967.110
   40        98       138           966.090
   40        99       139           966.440
   40       100       140           964.130
   40       101       141           965.480
   40       102       142           964.650
   40       103       143           964.250
   40       104       144           963.810
   40       105       145           961.130
   40       106       146           961.590
   40       107       147           960.910
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  41   Nb
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   41        80       121           981.540
   41        81       122           979.250
   41        82       123           984.330
   41        83       124           984.660
   41        84       125           985.620
   41        85       126           986.200
   41        86       127           987.780
   41        87       128           987.440
   41        88       129           988.500
   41        89       130           991.050
   41        90       131           989.590
   41        91       132           991.240
   41        92       133           989.600
   41        93       134           992.170
   41        94       135           990.660
   41        95       136           991.410
   41        96       137           991.320
   41        97       138           992.040
   41        98       139           990.530
   41        99       140           991.410
   41       100       141           990.950
   41       101       142           990.670
   41       102       143           988.770
   41       103       144           989.230
   41       104       145           988.190
   41       105       146           988.460
   41       106       147           986.360
   41       107       148           986.340
   41       108       149           984.630
   41       109       150           983.490
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  42   Mo
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   42        82       124          1006.810
   42        83       125          1004.760
   42        84       126          1008.660
   42        85       127          1010.450
   42        86       128          1010.880
   42        87       129          1011.640
   42        88       130          1012.100
   42        89       131          1011.180
   42        90       132          1009.780
   42        91       133          1014.640
   42        92       134          1014.180
   42        93       135          1015.360
   42        94       136          1011.070
   42        95       137          1015.500
   42        96       138          1011.360
   42        97       139          1015.160
   42        98       140          1010.970
   42        99       141          1011.450
   42       100       142          1009.870
   42       101       143          1010.490
   42       102       144          1009.790
   42       103       145          1009.030
   42       104       146          1008.370
   42       105       147          1008.450
   42       106       148          1007.780
   42       107       149          1007.500
   42       108       150          1006.210
   42       109       151          1006.060
   42       110       152          1004.480
   42       111       153          1003.590
   42       112       154          1003.050
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  43   Tc
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   43        82       125          1028.480
   43        83       126          1027.090
   43        84       127          1030.770
   43        85       128          1032.530
   43        86       129          1033.120
   43        87       130          1033.850
   43        88       131          1034.860
   43        89       132          1036.580
   43        90       133          1036.490
   43        91       134          1037.190
   43        92       135          1037.290
   43        93       136          1038.120
   43        94       137          1038.030
   43        95       138          1037.990
   43        96       139          1037.820
   43        97       140          1038.280
   43        98       141          1037.680
   43        99       142          1037.120
   43       100       143          1036.630
   43       101       144          1037.080
   43       102       145          1036.550
   43       103       146          1035.770
   43       104       147          1035.450
   43       105       148          1035.270
   43       106       149          1034.920
   43       107       150          1033.580
   43       108       151          1032.780
   43       109       152          1032.050
   43       110       153          1030.050
   43       111       154          1032.810
   43       112       155          1031.690
   43       113       156          1032.090
   43       114       157          1031.500
   43       115       158          1032.290
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  44   Ru
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   44        76       120          1024.950
   44        77       121          1027.150
   44        78       122          1034.670
   44        79       123          1040.060
   44        80       124          1044.500
   44        81       125          1046.790
   44        82       126          1050.980
   44        83       127          1050.410
   44        84       128          1052.980
   44        85       129          1052.690
   44        86       130          1055.250
   44        87       131          1051.940
   44        88       132          1052.880
   44        89       133          1054.400
   44        90       134          1054.780
   44        91       135          1059.250
   44        92       136          1059.720
   44        93       137          1060.300
   44        94       138          1060.540
   44        95       139          1061.010
   44        96       140          1056.470
   44        97       141          1057.010
   44        98       142          1056.460
   44        99       143          1060.330
   44       100       144          1059.490
   44       101       145          1056.580
   44       102       146          1059.610
   44       103       147          1055.350
   44       104       148          1055.320
   44       105       149          1054.250
   44       106       150          1057.360
   44       107       151          1053.180
   44       108       152          1052.530
   44       109       153          1052.160
   44       110       154          1054.600
   44       111       155          1049.210
   44       112       156          1051.710
   44       113       157          1052.570
   44       114       158          1051.530
   44       115       159          1053.980
   44       116       160          1052.160
   44       117       161          1053.270
   44       118       162          1052.410
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  45   Rh
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   45        82       127          1069.430
   45        83       128          1070.870
   45        84       129          1071.970
   45        85       130          1073.550
   45        86       131          1074.530
   45        87       132          1075.910
   45        88       133          1076.590
   45        89       134          1077.960
   45        90       135          1078.700
   45        91       136          1078.650
   45        92       137          1079.610
   45        93       138          1079.560
   45        94       139          1080.450
   45        95       140          1081.220
   45        96       141          1080.750
   45        97       142          1081.650
   45        98       143          1080.950
   45        99       144          1081.220
   45       100       145          1080.620
   45       101       146          1081.470
   45       102       147          1080.930
   45       103       148          1080.410
   45       104       149          1079.920
   45       105       150          1079.630
   45       106       151          1079.400
   45       107       152          1079.260
   45       108       153          1078.670
   45       109       154          1077.610
   45       110       155          1077.700
   45       111       156          1077.410
   45       112       157          1076.540
   45       113       158          1078.480
   45       114       159          1078.080
   45       115       160          1080.540
   45       116       161          1078.920
   45       117       162          1076.430
   45       118       163          1078.090
   45       119       164          1077.240
   45       120       165          1075.750
   45       121       166          1077.120
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  46   Pd
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   46        82       128          1087.770
   46        83       129          1089.520
   46        84       130          1090.780
   46        85       131          1096.270
   46        86       132          1097.490
   46        87       133          1099.060
   46        88       134          1100.030
   46        89       135          1097.650
   46        90       136          1098.840
   46        91       137          1100.600
   46        92       138          1099.700
   46        93       139          1100.820
   46        94       140          1100.840
   46        95       141          1103.940
   46        96       142          1101.220
   46        97       143          1103.410
   46        98       144          1101.990
   46        99       145          1102.260
   46       100       146          1102.040
   46       101       147          1104.830
   46       102       148          1102.490
   46       103       149          1105.680
   46       104       150          1101.270
   46       105       151          1106.460
   46       106       152          1101.740
   46       107       153          1105.320
   46       108       154          1101.070
   46       109       155          1100.210
   46       110       156          1099.610
   46       111       157          1100.420
   46       112       158          1099.810
   46       113       159          1104.450
   46       114       160          1100.890
   46       115       161          1102.510
   46       116       162          1102.570
   46       117       163          1103.070
   46       118       164          1103.240
   46       119       165          1105.480
   46       120       166          1103.830
   46       121       167          1105.020
   46       122       168          1104.070
   46       123       169          1104.820
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  47   Ag
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   47        76       123          1074.590
   47        77       124          1081.280
   47        78       125          1085.570
   47        79       126          1093.150
   47        80       127          1098.600
   47        81       128          1102.080
   47        82       129          1108.140
   47        83       130          1110.340
   47        84       131          1111.890
   47        85       132          1113.870
   47        86       133          1115.310
   47        87       134          1116.940
   47        88       135          1118.310
   47        89       136          1119.820
   47        90       137          1116.640
   47        91       138          1117.170
   47        92       139          1117.890
   47        93       140          1119.140
   47        94       141          1119.220
   47        95       142          1125.510
   47        96       143          1120.780
   47        97       144          1125.950
   47        98       145          1121.320
   47        99       146          1121.240
   47       100       147          1121.700
   47       101       148          1125.670
   47       102       149          1122.120
   47       103       150          1126.280
   47       104       151          1121.840
   47       105       152          1126.400
   47       106       153          1126.650
   47       107       154          1126.270
   47       108       155          1126.500
   47       109       156          1125.480
   47       110       157          1124.930
   47       111       158          1125.110
   47       112       159          1124.610
   47       113       160          1126.710
   47       114       161          1127.230
   47       115       162          1128.700
   47       116       163          1124.780
   47       117       164          1131.060
   47       118       165          1130.160
   47       119       166          1131.930
   47       120       167          1130.660
   47       121       168          1128.500
   47       122       169          1126.950
   47       123       170          1127.360
   47       124       171          1127.970
   47       125       172          1128.310
   47       126       173          1128.200
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  48   Cd
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   48       100       148          1142.020
   48       101       149          1142.020
   48       102       150          1142.700
   48       103       151          1142.720
   48       104       152          1142.930
   48       105       153          1143.260
   48       106       154          1143.310
   48       107       155          1143.710
   48       108       156          1143.810
   48       109       157          1142.600
   48       110       158          1142.130
   48       111       159          1145.820
   48       112       160          1144.860
   48       113       161          1144.890
   48       114       162          1147.060
   48       115       163          1146.590
   48       116       164          1147.820
   48       117       165          1149.750
   48       118       166          1149.060
   48       119       167          1150.550
   48       120       168          1150.290
   48       121       169          1150.530
   48       122       170          1150.660
   48       123       171          1150.820
   48       124       172          1151.110
   48       125       173          1147.750
   48       126       174          1147.880
   48       127       175          1147.820
   48       128       176          1148.150
   48       129       177          1147.000
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  49   In
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   49       100       149          1163.850
   49       101       150          1163.900
   49       102       151          1164.750
   49       103       152          1164.870
   49       104       153          1165.410
   49       105       154          1165.520
   49       106       155          1166.030
   49       107       156          1166.020
   49       108       157          1166.320
   49       109       158          1165.540
   49       110       159          1165.480
   49       111       160          1165.070
   49       112       161          1165.190
   49       113       162          1168.730
   49       114       163          1168.460
   49       115       164          1171.040
   49       116       165          1170.900
   49       117       166          1168.910
   49       118       167          1168.840
   49       119       168          1170.930
   49       120       169          1171.180
