 =======================================================================================================================
 Table: Nuclear properties of SLy6 model for B=1*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang and Yan-jun Chen
 Article: Role of magnetic fields on the outer crust in a magnetar   doi:10.1088/1674-1137/ad39cc
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is incomplete table predicting the properties of 216 nuclides (Z = 25~68, N/A = 0.53~0.73)
 within the neutron drip line.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  25   Mn
 
 --------------------------------------------------------------------------------------------------------------------
   37        82       119           851.110          4.910          4.460           4.77           0.00           52.8
   37        83       120           850.010          4.990          4.470           4.84           0.02           16.0
   37        84       121           849.000          5.020          4.470           4.86           0.04           13.5
   37        85       122           848.220          5.090          4.480           4.91           0.05           19.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  38   Sr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   38        46        84           711.820          4.220          4.180           4.20           0.09            0.1
   38        47        85           722.377          4.230          4.180           4.21           0.07            0.2
   38        48        86           733.160          4.250          4.180           4.22           0.06            0.4
   38        49        87           742.667          4.260          4.180           4.22           0.00           50.1
   38        50        88           753.840          4.270          4.180           4.23           0.00           50.0
   38        51        89           759.857          4.300          4.190           4.25           0.03           51.4
   38        52        90           765.620          4.330          4.200           4.28           0.06           28.6
   38        82       120           874.380          4.900          4.480           4.77           0.00           59.1
   38        83       121           873.460          4.970          4.480           4.82           0.02           26.5
   38        84       122           872.560          4.990          4.490           4.84           0.04           13.9
   38        85       123           871.900          5.050          4.490           4.89           0.05           11.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  39   Y 
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   39        46        85           718.243          4.230          4.200           4.22           0.08            0.2
   39        47        86           729.410          4.240          4.200           4.22           0.06            0.3
   39        48        87           740.637          4.250          4.200           4.23           0.05            0.2
   39        49        88           751.870          4.260          4.200           4.24           0.00           59.6
   39        50        89           763.440          4.280          4.200           4.25           0.00           55.0
   39        51        90           769.573          4.310          4.210           4.27           0.02           47.7
   39        52        91           774.993          4.340          4.230           4.29           0.05           19.4
   39        82       121           895.930          4.900          4.490           4.77           0.00           57.0
   39        83       122           895.260          4.950          4.500           4.81           0.01           35.0
   39        84       123           894.383          4.980          4.500           4.83           0.03           11.4
   39        85       124           893.837          5.030          4.510           4.87           0.04            7.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  40   Zr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   40        46        86           724.283          4.230          4.230           4.23           0.08            0.2
   40        47        87           735.647          4.240          4.220           4.23           0.05            0.2
   40        48        88           747.380          4.260          4.230           4.24           0.05            0.1
   40        49        89           759.450          4.270          4.220           4.25           0.00           55.6
   40        50        90           771.420          4.290          4.230           4.26           0.00           57.7
   40        51        91           777.910          4.310          4.230           4.28           0.02           40.8
   40        52        92           783.527          4.340          4.250           4.30           0.05            8.8
   40        82       122           916.120          4.900          4.510           4.77           0.00           59.0
   40        83       123           915.690          4.940          4.510           4.80           0.01           32.6
   40        84       124           915.093          4.970          4.520           4.83           0.03            9.0
   40        85       125           914.740          5.010          4.530           4.86           0.04            2.5
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  41   Nb
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   41        46        87           729.697          4.250          4.240           4.24           0.08            0.1
   41        47        88           741.350          4.250          4.250           4.25           0.06            0.1
   41        48        89           753.450          4.270          4.250           4.26           0.05            0.1
   41        49        90           765.390          4.280          4.240           4.26           0.00           59.3
   41        50        91           777.850          4.290          4.250           4.27           0.00           40.8
   41        51        92           784.833          4.320          4.260           4.29           0.02           27.3
   41        52        93           791.330          4.350          4.270           4.31           0.05            4.4
   41        82       123           935.370          4.900          4.520           4.78           0.00           53.9
   41        83       124           935.197          4.930          4.530           4.80           0.01           28.7
   41        84       125           935.027          4.960          4.540           4.83           0.03            6.3
   41        85       126           934.930          5.000          4.550           4.85           0.04            2.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  42   Mo
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   42        46        88           734.923          4.270          4.250           4.26           0.08            0.0
   42        47        89           746.540          4.270          4.260           4.26           0.06            0.0
   42        48        90           759.153          4.270          4.270           4.27           0.06            0.2
   42        49        91           770.510          4.280          4.270           4.28           0.00           24.4
   42        50        92           783.500          4.300          4.270           4.28           0.00           39.0
   42        51        93           790.993          4.320          4.280           4.30           0.02           14.2
   42        52        94           798.910          4.350          4.290           4.33           0.06            1.3
   42        82       124           954.210          4.890          4.540           4.78           0.00           20.9
   42        83       125           954.293          4.930          4.550           4.80           0.01           27.3
   42        84       126           954.610          4.950          4.560           4.83           0.04            4.2
   42        85       127           954.827          4.990          4.570           4.85           0.05            1.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  43   Tc
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   43        82       125           972.553          4.890          4.560           4.78           0.00            1.4
   43        83       126           972.877          4.920          4.570           4.80           0.02           23.0
   43        84       127           973.700          4.950          4.580           4.83           0.04            2.6
   43        85       128           974.283          4.980          4.580           4.85           0.05            0.8
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  44   Ru
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   44        82       126           990.727          4.890          4.580           4.78           0.00           26.4
   44        83       127           991.303          4.920          4.580           4.81           0.02           22.1
   44        84       128           992.540          4.950          4.590           4.83           0.04            1.9
   44        85       129           993.460          4.980          4.600           4.85           0.05            0.7
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  45   Rh
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   45        82       127          1008.480          4.890          4.590           4.79           0.00            0.1
   45        83       128          1009.290          4.920          4.600           4.81           0.02           20.5
   45        84       129          1010.850          4.950          4.610           4.83           0.04            1.4
   45        85       130          1012.080          4.970          4.620           4.85           0.05            0.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  46   Pd
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   46        82       128          1026.090          4.890          4.610           4.79           0.00            3.0
   46        83       129          1027.130          4.920          4.620           4.81           0.02           18.5
   46        84       130          1028.870          4.940          4.630           4.83           0.04            1.4
   46        85       131          1030.370          4.970          4.630           4.85           0.05            0.3
