 =======================================================================================================================
 Table: Nuclear properties of UNEDF1* model for B=0 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
This is a highly detailed table predicting the properties 3247 nuclides (Z = 26~130, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
   37        81       118           869.180          5.100          4.500           4.91           0.07           59.7
   37        82       119           870.330          5.100          4.500           4.93           0.07           60.0
   37        83       120           871.400          5.200          4.500           4.96           0.08           46.9
   37        84       121           872.320          5.200          4.500           4.99           0.09           40.0
   37        85       122           873.590          5.200          4.500           5.02           0.10           41.3
   37        86       123           874.470          5.300          4.500           5.05           0.11           38.1
   37        87       124           875.550          5.300          4.500           5.08           0.10           46.7
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  38   Sr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   38        45        83           720.120          4.200          4.100           4.18           0.08            1.2
   38        46        84           730.550          4.200          4.200           4.19           0.09            0.9
   38        47        85           741.100          4.200          4.200           4.20           0.07            0.7
   38        48        86           750.770          4.300          4.200           4.22           0.06            2.0
   38        49        87           761.000          4.300          4.200           4.22           0.00           56.3
   38        50        88           770.180          4.300          4.200           4.24           0.00           60.0
   38        51        89           776.660          4.300          4.200           4.26           0.03           34.1
   38        52        90           782.910          4.400          4.200           4.28           0.06           23.9
   38        53        91           789.090          4.400          4.200           4.31           0.07           27.6
   38        54        92           794.590          4.400          4.200           4.34           0.10           25.1
   38        78       116           884.670          5.000          4.500           4.84           0.07            3.7
   38        79       117           886.860          5.000          4.500           4.85           0.06           13.9
   38        80       118           888.640          5.000          4.500           4.87           0.05           16.5
   38        81       119           890.340          5.100          4.500           4.89           0.05           59.6
   38        82       120           891.750          5.100          4.500           4.91           0.06           60.0
   38        83       121           892.850          5.100          4.500           4.94           0.06           44.8
   38        84       122           893.960          5.200          4.500           4.97           0.08           35.7
   38        85       123           895.210          5.200          4.500           5.00           0.08           38.4
   38        86       124           896.110          5.200          4.500           5.03           0.10           35.3
   38        87       125           897.320          5.300          4.500           5.06           0.09           45.4
   38        90       128           900.250          5.376          4.516           5.06           0.09           59.7
   38        91       129           900.980          5.410          4.590           5.06           0.09           59.7
   38        92       130           901.670          5.442          4.521           5.06           0.09           59.7
   38        93       131           902.340          5.472          4.523           5.06           0.09           59.7
   38        94       132           903.130          5.496          4.523           5.06           0.09           59.7
   38        95       133           903.810          5.529          4.526           5.06           0.09           59.7
   38        96       134           904.390          5.564          4.528           5.06           0.09           59.7
 --------------------------------------------------------------------------------------------------------------------
 
