 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4553 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
   31        46        77           670.040          4.200          4.000           4.11           0.09            0.9
   31        47        78           674.725          4.200          4.000           4.13           0.08            0.8
   31        48        79           682.640          4.200          4.000           4.14           0.07            4.1
   31        49        80           682.420          4.200          4.000           4.15           0.02           14.9
   31        50        81           692.590          4.300          4.000           4.17           0.04           54.4
   31        51        82           696.445          4.300          4.000           4.21           0.05           30.3
   31        52        83           700.205          4.300          4.000           4.23           0.06           42.9
   31        53        84           704.495          4.400          4.000           4.26           0.05           46.5
   31        54        85           707.930          4.400          4.000           4.28           0.05           33.7
   31        55        86           713.795          4.500          4.000           4.31           0.01           36.4
   31        56        87           713.840          4.500          4.000           4.34           0.01           53.5
   31        57        88           715.295          4.500          4.100           4.37           0.02           45.0
   31        58        89           715.865          4.600          4.100           4.41           0.07           50.1
   31        59        90           721.130          4.600          4.100           4.43           0.04           45.8
   31        60        91           722.640          4.700          4.100           4.47           0.07           55.3
   31        61        92           720.635          4.700          4.100           4.50           0.11           33.1
   31        62        93           722.590          4.700          4.100           4.53           0.09           32.1
   31        63        94           725.415          4.800          4.200           4.57           0.13           31.5
   31        64        95           726.570          4.800          4.200           4.60           0.14           17.5
   31        65        96           726.060          4.800          4.200           4.65           0.17           16.4
   31        66        97           727.985          4.900          4.200           4.68           0.17           22.2
   31        67        98           728.595          4.900          4.200           4.72           0.17           16.4
   31        68        99           728.310          5.000          4.200           4.75           0.17           24.0
   31        69       100           726.275          5.100          4.200           4.87           0.16           31.0
   31        70       101           730.340          5.100          4.300           4.85           0.18           29.1
   31        71       102           729.585          5.300          4.300           4.98           0.20           20.8
   31        72       103           731.510          5.200          4.300           4.98           0.20           25.7
   31        73       104           732.165          5.200          4.200           4.95           0.10            0.9
   31        74       105           729.225          5.100          4.300           4.85           0.07            2.9
   31        75       106           730.645          5.300          4.300           5.02           0.12            8.6
   31        76       107           733.405          5.200          4.300           4.99           0.10            8.8
   31        77       108           731.745          5.400          4.300           5.10           0.14           17.9
   31        78       109           732.355          5.300          4.300           5.04           0.12           22.0
   31        79       110           733.565          5.400          4.300           5.13           0.13           10.1
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   32        40        72           634.915          4.100          4.000           4.10           0.26            8.2
   32        41        73           645.385          4.100          4.000           4.02           0.02           48.6
   32        42        74           653.090          4.100          4.000           4.04           0.03           16.2
   32        43        75           659.880          4.100          4.000           4.06           0.05            0.6
   32        44        76           668.485          4.200          4.000           4.08           0.07            0.3
   32        45        77           675.970          4.200          4.000           4.10           0.07            0.6
   32        46        78           682.910          4.200          4.000           4.12           0.08            0.8
   32        47        79           689.765          4.200          4.000           4.13           0.07            0.3
   32        48        80           695.815          4.200          4.000           4.15           0.06            3.0
   32        49        81           701.290          4.200          4.000           4.15           0.01           37.2
