 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   29   50   79      654.430        4.300        4.000         4.15         0.01         59.0        4.300        9.335
   29   51   80      657.255        4.300        4.000         4.18         0.05         25.0        2.825        7.125
   29   52   81      659.835        4.300        4.000         4.22         0.07         19.5        2.580        5.405
   29   53   82      662.575        4.400        4.000         4.25         0.08         29.1        2.740        5.320
   29   54   83      664.910        4.400        4.000         4.28         0.08         31.0        2.335        5.075
   29   55   84      667.515        4.500        4.000         4.31         0.07         59.1        2.605        4.940
   29   56   85      669.650        4.500        4.000         4.34         0.07         59.9        2.135        4.740
   29   57   86      669.955        4.600        4.000         4.39         0.10         57.1        0.305        2.440
   29   58   87      670.065        4.600        4.100         4.43         0.14         60.0        0.110        0.415
   29   59   88      674.730        4.600        4.000         4.44         0.03         39.3        4.665        4.775
   29   60   89      674.475        4.700        4.000         4.48         0.08         40.1       -0.255        4.410
   29   61   90      676.200        4.700        4.000         4.51         0.05         59.5        1.725        1.470
   29   62   91      675.890        4.700        4.100         4.54         0.08         60.0       -0.310        1.415
   29   63   92      677.320        4.800        4.100         4.59         0.05         39.9        1.430        1.120
   29   64   93      677.135        4.800        4.100         4.61         0.07         43.6       -0.185        1.245
   29   65   94      677.585        4.900        4.100         4.64         0.05         60.0        0.450        0.265
   29   66   95      677.295        4.900        4.100         4.66         0.05         59.7       -0.290        0.160
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   30   40   70      614.240        4.100        4.000         4.04         0.22          2.7                          
   30   41   71      617.660        4.100        3.900         3.99         0.02         32.9        3.420             
   30   42   72      623.870        4.100        3.900         4.02         0.05          6.2        6.210        9.630
   30   43   73      631.230        4.100        3.900         4.04         0.08          0.4        7.360       13.570
   30   44   74      637.240        4.200        3.900         4.07         0.10          0.1        6.010       13.370
   30   45   75      643.995        4.200        4.000         4.09         0.11          0.1        6.755       12.765
   30   46   76      649.885        4.200        4.000         4.11         0.12          0.1        5.890       12.645
   30   47   77      655.690        4.200        4.000         4.12         0.10          0.2        5.805       11.695
   30   48   78      660.900        4.200        4.000         4.14         0.09          0.7        5.210       11.015
   30   49   79      666.020        4.200        4.000         4.14         0.02         50.2        5.120       10.330
